"wccSubjectCode","wccCourseNumber","wccCourseName","concordiaSubjectCode","concordiaCourseNumber","concordiaCourseName"
"GDT","101","History of Graphic Design","TRAN","1","Transfer Credits"
"GDT","104","Introduction to Graphic Design","TRAN","110","Creative Arts Core"
"GDT","106","Illustrator Graphics","TRAN","1","Transfer Credits"
"GDT","108","Photoshop Graphics","TRAN","110","Creative Arts Core"
"GDT","112","Prin/Prob Solve Graphic Design","TRAN","1","Transfer Credits"
"GDT","130","InDesign for Print Publishing","TRAN","1","Transfer Credits"
"GDT","215","Typography II","TRAN","110","Creative Arts Core"
"GDT","215","Typography II","TRAN","1","Transfer Credits"
"GDT","239","Imaging and Illustration","TRAN","1","Transfer Credits"
"GEO","101","World Regional Geography","GEOG","2200","Cultural Geography"
"GER","111","First Year German I","GER","1010","Beginning German I"
"GER","111","First Year German I","TRAN","1","Transfer Credits"
"GER","122","First Year German II","GER","1020","Beginning German II"
"GER","122","First Year German II","TRAN","1","Transfer Credits"
"GLG","100","Intro to Earth Science and Lab","ENV","2500","Earth Science"
"GLG","103","Field Geology","TRAN","1","Transfer Credits"
"GLG","104","Weather and lab","TRAN","105","Science Core"
"GLG","104","Weather and lab","TRAN","1","Transfer Credits"
"GLG","110","Geol Nat'l Parks & Monuments","TRAN","1","Transfer Credits"
"GLG","114","Physical Geology and Lab","TRAN","105","Science Core"
"GLG","125","The Earth Through Time","TRAN","1","Transfer Credits"
"GLG","202","Earth Science for Elem Teacher","ENV","2500","Earth Science"
"GLG","276","Princ of Geographic Info Sys","TRAN","1","Transfer Credits"
"HSC","100","Basic Nursing Assistant Skills","TRAN","1","Transfer Credits"
"HSC","101","Healthcare Terminology","TRAN","1","Transfer Credits"
"HSC","103","Healthcare Exploration","TRAN","1","Transfer Credits"
"HSC","124","Medical Terminology","RT","312","Medical Terminology"
"HSC","124","Medical Terminology","TRAN","1","Transfer Credits"
"HSC","124","Medical Terminology","MSAT","116","Medical Terminology"
"HSC","131","CPR/AED Prof Resc & First Aid","TRAN","1","Transfer Credits"
"HSC","138","General & Thera Nutrition","TRAN","1","Transfer Credits"
"HSC","147","Growth and Development","PSY","2300","Life Span Development"
"HSC","164","Foundations of Caregivin","TRAN","1","Transfer Credits"
"HSC","165","Foundations of Caregiving","TRAN","1","Transfer Credits"
"HST","108","The Ancient & Medieval World","HIST","2625","The Ancient World"
"HST","109","The Early & Medieval World","TRAN","1","Transfer Credits"
"HST","121","Western Civilizations I","TRAN","107","History Core"
"HST","121","Western Civilizations I","HIST","103","World Views:History"
"HST","122","Early Modern Europe","HIST","3460","Modern Europe"
"HST","123","The 20th Century","HIST","199X","History Transfer Elective"
"HST","150","African American History","HIST","199X","History Transfer Elective"
"HST","200","Michigan History","HIST","2230","Michigan History"
"HST","201","U.S. History to 1877","HIST","1210","American Civilization I"
"HST","202","U.S. History since 1877","HIST","1215","American Civilization II"
"HST","215","History of US Foreign Affairs","HIST","299X","History Transfer Elective"
"HST","216","US Military Hist/Colonial-Pres","HIST","299X","History Transfer Elective"
"HST","220","The Civil War Era 1845-1877","HIST","1215","American Civilization II"
"HST","225","World War II","HIST","299X","History Transfer Elective"
"HST","230","History of the Holocaust","HIST","299X","History Transfer Elective"
"HST","251","War on  Modern World 1500-Pres","HIST","299X","History Transfer Elective"
"HST","260","History of England","HIST","299X","History Transfer Elective"
"HST","290","International Studies in Hist","HIST","299X","History Transfer Elective"
"HSW","100","Intro Human Services","SW","1110","Social Work & Social Welfare"
"HSW","200","Interviewing and Assessment","TRAN","1","Transfer Credits"
"HSW","229","Human Services Success Skills","TRAN","1","Transfer Credits"
"HSW","230","Field Internship/Seminar I","TRAN","1","Transfer Credits"
"HUM","101","Humanities I","TRAN","110","Creative Arts Core"
"HUM","102","Humanities I: Renais to Modern","TRAN","110","Creative Arts Core"
"HUM","103","Humanities: 20th Cent to Pres","TRAN","110","Creative Arts Core"
"HUM","145","Comparative Religions","TRAN","1","Transfer Credits"
"HUM","146","Mythology","TRAN","1","Transfer Credits"
"HUM","147","Comparative Religions","TRAN","1","Transfer Credits"
"HUM","150","International Cinema","TRAN","1","Transfer Credits"
"HUM","160","American Film","TRAN","1","Transfer Credits"
"HUM","175","Arts & Culture of Islam","TRAN","110","Creative Arts Core"
"HUM","185","The Horror Film","TRAN","1","Transfer Credits"
"INP","150","Web Coding I","TRAN","1","Transfer Credits"
"JPN","111","Elementary Japanese","TRAN","113","Language Culture Core"
"JPN","111","Elementary Japanese","TRAN","1","Transfer Credits"
"JRN","216","News Writing and Reporting","COMM","1200","Journalism"
"JRN","217","Feature Writing","TRAN","1","Transfer Credits"
"JRN","220","Journalism for the Web","TRAN","1","Transfer Credits"
"MBC","182","Med Comp Skills/Elec Hlth Rec","TRAN","1","Transfer Credits"
"MBC","224","Med Ins and Reimbursement","TRAN","1","Transfer Credits"
"MST","110","Motorcycle Service Technology","TRAN","1","Transfer Credits"
"MST","130","Motorcycle Service Tech III","TRAN","1","Transfer Credits"
"MTH","125","Everyday College Math","MATH","1250","Contemporary Math"
"MTH","125","Everyday College Math","TRAN","1","Transfer Credits"
"MTH","148","Funct Math for Elem Teach I","MATH","1190","Number Sense: Teaching Pre K-9"
"MTH","148","Funct Math for Elem Teach I","TRAN","1","Transfer Credits"
"MTH","149","Funct Math for Elem Teach II","MATH","1200","Date & Space: Teaching Pre K-9"
"MTH","149","Funct Math for Elem Teach II","TRAN","1","Transfer Credits"
"MTH","160","Basic Statistics","MATH","2050","Statistics I"
"MTH","160","Basic Statistics","TRAN","1","Transfer Credits"
"MTH","166","Math for Radiography","TRAN","1","Transfer Credits"
"MTH","167","Math Applic for Health Sci","TRAN","1","Transfer Credits"
"MTH","169","Intermediate Algebra","MATH","1210","Intermediate Algebra"
"MTH","169","Intermediate Algebra","TRAN","1","Transfer Credits"
"MTH","176","College Algebra","MATH","1280","College Algebra"
"MTH","176","College Algebra","TRAN","1","Transfer Credits"
"MTH","178","General Trigonometry","MATH","1500","Trigonometry"
"MTH","180","Precalculus","TRAN","104","Math Core"
"MTH","191","Calculus I","MATH","2010","Calculus 1"
"MTH","191","Calculus I","TRAN","1","Transfer Credits"
"MTH","192","Calculus II","MATH","2020","Calculus II"
"MTH","193","Calculus III","MATH","2030","Calculus III"
"MTH","197","Linear Algebra","MATH","199X","Math Transfer Elective"
"MTH","293","Calculus III","MATH","2030","Calculus III"
"MTH","295","Differential Equations","MATH","299X","Math Transfer Elective"
"MUS","103","WCC Jazz Orchestra","TRAN","1","Transfer Credits"
"MUS","104","Top 40 Combo","TRAN","1","Transfer Credits"
"MUS","105","Basic Combo/Improv","TRAN","1","Transfer Credits"
"MUS","106","Jazz Combo and Improv","TRAN","1","Transfer Credits"
"MUS","133","Beginning Guitar","TRAN","1","Transfer Credits"
"MUS","134","Intermediate Guitar","TRAN","1","Transfer Credits"
"MUS","140","Music Theory I","TRAN","110","Creative Arts Core"
"MUS","147","Entertainment Law","TRAN","1","Transfer Credits"
"MUS","154","Functional Piano I","MUS","1202","Beginning Piano I"
"MUS","154","Functional Piano I","TRAN","1","Transfer Credits"
"MUS","155","Functional Piano II","MUS","1203","Beginning Piano II"
"MUS","155","Functional Piano II","TRAN","1","Transfer Credits"
"MUS","162","Music Seq & Programming","TRAN","110","Creative Arts Core"
"MUS","170","Computer Applications in Music","TRAN","110","Creative Arts Core"
"MUS","175","Audio Recording Technology I","TRAN","110","Creative Arts Core"
"MUS","180","Musical Appreciation: Music Wo","MUS","1172","Music Appreciation"
"MUS","204","Voice I","MUS","2303","Applied Voice"
"MUS","210","Functional Piano I","TRAN","1","Transfer Credits"
"MUS","236","Intermediate Guitar","TRAN","1","Transfer Credits"
"MUS","239","Jazz Guitar I","TRAN","1","Transfer Credits"
"MUS","245","Music Producing and Arranging","TRAN","1","Transfer Credits"
"MUS","248","Sound Reinforcement for Stage","TRAN","1","Transfer Credits"
"MUS","275","Audio Recording Technology II","TRAN","110","Creative Arts Core"
"MUS","285","Self MGMT/Workign Artists","TRAN","1","Transfer Credits"
"NUR","115","Pharmacology","NURS","2320","Pharmacology"
"PEA","115","Health and Fitness Experience","TRAN","119","Physical Development Core"
"PEA","115","Health and Fitness Experience","TRAN","1","Transfer Credits"
"PHL","101","Introduction to Philosophy","PHIL","2010","Central Texts of Philosophy"
"PHL","123","Critical Thinking","PHIL","199X","Philosophy Transfer Elective"
"PHL","200","Existentialism","PHIL","199X","Philosophy Transfer Elective"
"PHL","205","Ethics","PHIL","199X","Philosophy Transfer Elective"
"PHL","241","Environmental Ethics","PHIL","199X","Philosophy Transfer Elective"
"PHL","244","Ethic & Legl Iss. Health Care","PHIL","3500","Bioethical Dilemmas"
"PHL","245","Philosophy of Religion","TRAN","1","Transfer Credits"
"PHL","250","Logic","PHIL","2110","Elementary Logic"
"PHO","103","History of Photography","TRAN","110","Creative Arts Core"
"PHO","111","Photography I","ART","1020","Digital Photography I"
"PHO","111","Photography I","TRAN","1","Transfer Credits"
"PHO","116","Studio Portraits","TRAN","1","Transfer Credits"
"PHO","117","Introduction to the Studio","TRAN","1","Transfer Credits"
"PHO","122","Film and Darkroom Photography","ART","1030","Darkroom Photography I"
"PHO","127","Digital Photo Imagining I","ART","199X","Art Transfer Elective"
"PHO","129","Black & White Digital Imaging","TRAN","1","Transfer Credits"
"PHO","211","Large Format Photography I","TRAN","1","Transfer Credits"
"PHO","216","Environmental Portraiture","TRAN","1","Transfer Credits"
"PHO","228","Digital Photo Imagining II","TRAN","1","Transfer Credits"
"PHO","230","Portfolio Projects","TRAN","1","Transfer Credits"
"PHO","231","Portfolio Seminar","TRAN","1","Transfer Credits"
"PHY","100","Physics for the Elem Teach","TRAN","105","Science Core"
"PHY","100","Physics for the Elem Teach","TRAN","1","Transfer Credits"
"PHY","105","Conceptual Physics & Lab","PHYS","199X","Physics Transfer Elective"
"PHY","111","General Physics I","PHYS","1514","General Physics I"
"PHY","122","General Physics II","PHYS","1524","General Physics II"
"PHY","211","Analytical Physics I","TRAN","105","Science Core"
"PHY","211","Analytical Physics I","TRAN","1","Transfer Credits"
"PHY","222","Analytical Physics II","TRAN","105","Science Core"
"PHY","222","Analytical Physics II","TRAN","1","Transfer Credits"
"PLS","112","Intro to Am Gov","POLS","2010","American Government"
"PLS","220","Politics and the Media","POLS","299X","Political Science Trf Elective"
"PLS","241","Guns, God, Ganja: US Federal","POLS","299X","Political Science Trf Elective"
"PLS","250","Campaign & Elections","POLS","299X","Political Science Trf Elective"
"PSY","100","Introduction to Psychology","PSY","1010","General Psychology"
"PSY","107","African - American Psychology","PSY","199X","Psychology Transfer Elective"
"PSY","150","Psychology of Work","PSY","199X","Psychology Transfer Elective"
"PSY","200","Child Psychology","PSY","2210","Child Development"
"PSY","206","Life Span Developmental Psych","PSY","2300","Life Span Development"
"PSY","206","Life Span Developmental Psych","TRAN","1","Transfer Credits"
"PSY","210","Behavior Modification","PSY","299X","Psychology Transfer Elective"
"PSY","220","Human Development and Learning","PSY","299X","Psychology Transfer Elective"
"PSY","220","Human Development and Learning","TRAN","1","Transfer Credits"
"PSY","240","Drugs, Society, & Human Behav","PSY","299X","Psychology Transfer Elective"
"PSY","251","Education of Exceptional Child","PSY","299X","Psychology Transfer Elective"
"PSY","257","Abnormal Psychology","PSY","4250","Abnormal Psychology"
"PSY","260","Human Sexuality","PSY","4210","Human Sexuality"
"PSY","296","Neuropsychology of Addiction","PSY","299X","Psychology Transfer Elective"
"PSY","297","Assess  Co-Occurring Disorders","PSY","299X","Psychology Transfer Elective"
"PSY","298","Treatment of Addiction","PSY","299X","Psychology Transfer Elective"
"PTA","102","Intro to Physical Therapy","TRAN","1","Transfer Credits"
"RAD","100","Intro to Diagnostic Imaging","TRAN","1","Transfer Credits"
"RAD","101","Methods in Patient Care","TRAN","1","Transfer Credits"
"RAD","123","Radiographic Positioning","TRAN","1","Transfer Credits"
"RAD","150","Clinical Education","TRAN","1","Transfer Credits"
"RAD","218","RAD Biology and Protection","TRAN","1","Transfer Credits"
"RAD","232","Digital Imaging in Radiography","TRAN","1","Transfer Credits"
"SCI","101","Nature of Science","TRAN","1","Transfer Credits"
"SCI","102","Applied Science","TRAN","1","Transfer Credits"
"SOC","100","Principles of Sociology","SOC","1010","Introduction to Sociology"
"SOC","202","Criminology","JPP","1020","Criminology"
"SOC","205","Race & Ethnic Relations","SOC","1750","African Amer Reality & Culture"
"SOC","207","Social Problems","SOC","2030","Contemporary Social Problems"
"SOC","220","Group Dynamics & Counseling","SOC","299X","Sociology Transfer Electives"
"SOC","225","Family Social Work","SOC","299X","Sociology Transfer Electives"
"SOC","250","Juvenile Delinquency","SOC","299X","Sociology Transfer Electives"
"SPN","101","Basic Conversational Spanish","SPAN","199X","Spanish Transfer Electives"
"SPN","111","First Year Spanish I","SPAN","1000","Beg Spanish I for Professional"
"SPN","111","First Year Spanish I","TRAN","1","Transfer Credits"
"SPN","122","First Year Spanish II","SPAN","1020","Beginning Spanish II"
"SPN","122","First Year Spanish II","TRAN","1","Transfer Credits"
"SPN","201","Second Year Spanish I","SPAN","2010","Intermediate Spanish I"
"SPN","201","Second Year Spanish I","TRAN","1","Transfer Credits"
"SPN","202","Second Year Spanish II","SPAN","2020","Intermediate Spanish II"
"SPN","202","Second Year Spanish II","TRAN","1","Transfer Credtis"
"SUR","101","Intro to Sterile Processing","TRAN","1","Transfer Credits"
"SUR","110","Intro. Surg. Tech/Patient","TRAN","1","Transfer Credits"
"SUR","170","Surgical Pharmacology","TRAN","1","Transfer Credits"
"SUR","180","Surgical Procedures I","TRAN","1","Transfer Credits"
"SUR","181","Surgical Procedures I Lab","TRAN","1","Transfer Credits"
"SUR","210","Surgical Procedures II","TRAN","1","Transfer Credits"
"SUR","211","Surgical Procedures II Lab","TRAN","1","Transfer Credits"
"SUR","231","Clinical Education I","TRAN","1","Transfer Credits"
"SUR","241","Clinical Education II","TRAN","1","Transfer Credits"
"SUR","250","Surgical Tech. Seminar","TRAN","1","Transfer Credits"
"SUR","270","Biomed & MIS","TRAN","1","Transfer Credits"
"VID","105","Foundations in Digital Video I","TRAN","1","Transfer Credits"
"WAF","105","Intro to Welding Processes","TRAN","1","Transfer Credits"
"YOG","101","Yoga I","TRAN","119","Physical Development Core"
"YOG","102","Philosophy & Practice of Yoga","TRAN","1","Transfer Credits"
